n_stops,seed,depth,variant,value,best_move,expansions,generated,ebf,nominal_b,sqrt_nominal_b,seconds
9,3,8,alpha-beta,10,7,48343,48342,3.7021,9,3.0,0.07832
9,3,8,alpha-beta+ordering,10,7,3654,3653,2.6263,9,3.0,0.00689
9,3,8,alpha-beta+ordering+tt,10,7,1674,1673,2.361,9,3.0,0.00377
9,3,8,alpha-beta+iterative-deepening,10,7,5041,5033,2.7423,9,3.0,0.01244
9,4,4,minimax,14,7,3610,3609,7.4782,9,3.0,0.0075
9,4,4,alpha-beta,14,7,724,723,4.8999,9,3.0,0.00149
9,4,4,alpha-beta+ordering,14,7,323,322,3.9413,9,3.0,0.0009
9,4,4,alpha-beta+ordering+tt,14,7,323,322,3.9413,9,3.0,0.00102
9,4,4,alpha-beta+iterative-deepening,14,7,359,355,4.0471,9,3.0,0.00111
9,4,6,minimax,14,7,79210,79209,6.3694,9,3.0,0.14104
9,4,6,alpha-beta,14,7,5664,5663,4.0258,9,3.0,0.01046
9,4,6,alpha-beta+ordering,14,7,1943,1942,3.3284,9,3.0,0.00464
9,4,6,alpha-beta+ordering+tt,14,7,1472,1471,3.1662,9,3.0,0.00397
9,4,6,alpha-beta+iterative-deepening,14,7,1939,1933,3.3256,9,3.0,0.00534
9,4,8,minimax,21,7,623530,623529,5.1602,9,3.0,0.89316
9,4,8,alpha-beta,21,7,22169,22168,3.3413,9,3.0,0.03505
9,4,8,alpha-beta+ordering,21,7,5849,5848,2.7982,9,3.0,0.01125
9,4,8,alpha-beta+ordering+tt,21,7,2742,2741,2.5259,9,3.0,0.00651
9,4,8,alpha-beta+iterative-deepening,21,7,5570,5562,2.7795,9,3.0,0.01381
9,5,4,minimax,13,4,3610,3609,7.4782,9,3.0,0.00736
9,5,4,alpha-beta,13,4,775,774,4.9897,9,3.0,0.00163
9,5,4,alpha-beta+ordering,13,4,211,210,3.5061,9,3.0,0.00057
9,5,4,alpha-beta+ordering+tt,13,4,211,210,3.5061,9,3.0,0.0006
9,5,4,alpha-beta+iterative-deepening,13,4,399,395,4.1659,9,3.0,0.00159
9,5,6,minimax,1,4,79210,79209,6.3694,9,3.0,0.14163
9,5,6,alpha-beta,1,4,8531,8530,4.3266,9,3.0,0.01602
9,5,6,alpha-beta+ordering,1,4,1150,1149,3.0278,9,3.0,0.0026
9,5,6,alpha-beta+ordering+tt,1,4,918,917,2.9062,9,3.0,0.00222
9,5,6,alpha-beta+iterative-deepening,1,4,1823,1817,3.2889,9,3.0,0.00494
9,5,8,minimax,16,4,623530,623529,5.1602,9,3.0,0.891
9,5,8,alpha-beta,16,4,44078,44077,3.6575,9,3.0,0.07049
9,5,8,alpha-beta+ordering,16,4,3721,3720,2.6327,9,3.0,0.00695
9,5,8,alpha-beta+ordering+tt,16,4,1778,1777,2.3806,9,3.0,0.00411
9,5,8,alpha-beta+iterative-deepening,16,4,4977,4969,2.7376,9,3.0,0.01229
