horizon,seed,instance,heuristic,consistent,h_at_root,optimum,expansions,expansions_below_cstar,generated,re_expansions,max_frontier,depth,ebf,seconds
5,9,rand-n5-s9,h0-zero,1,0,175,100,99,196,0,45,8,1.741,0.00048
5,9,rand-n5-s9,h1-farthest,1,44,175,64,62,149,0,45,8,1.6712,0.0004
5,9,rand-n5-s9,h2-mst,1,114,175,47,45,105,0,40,8,1.5845,0.00072
5,9,rand-n5-s9,hx-inconsistent,0,114,175,67,66,134,1,42,8,1.6446,0.00075
7,0,rand-n7-s0,h0-zero,1,0,241,617,616,1065,0,206,11,1.7445,0.00304
7,0,rand-n7-s0,h1-farthest,1,54,241,292,290,692,0,191,11,1.668,0.00207
7,0,rand-n7-s0,h2-mst,1,153,241,120,115,352,0,158,11,1.5525,0.00274
7,0,rand-n7-s0,hx-inconsistent,0,0,241,265,262,614,17,194,11,1.6472,0.00373
7,1,rand-n7-s1,h0-zero,1,0,206,718,716,1359,0,239,10,1.9108,0.00367
7,1,rand-n7-s1,h1-farthest,1,50,206,392,390,926,0,248,10,1.8299,0.00273
7,1,rand-n7-s1,h2-mst,1,143,206,123,120,386,0,165,10,1.6545,0.00285
7,1,rand-n7-s1,hx-inconsistent,0,0,206,263,260,626,23,196,10,1.7499,0.00366
7,2,rand-n7-s2,h0-zero,1,0,245,818,817,1606,0,310,10,1.9468,0.00433
7,2,rand-n7-s2,h1-farthest,1,48,245,458,456,1217,0,297,10,1.8872,0.00334
7,2,rand-n7-s2,h2-mst,1,154,245,183,180,595,0,216,10,1.7397,0.00391
7,2,rand-n7-s2,hx-inconsistent,0,0,245,356,354,905,15,234,10,1.8251,0.00488
7,3,rand-n7-s3,h0-zero,1,0,219,861,860,2501,0,446,10,2.045,0.00587
7,3,rand-n7-s3,h1-farthest,1,52,219,625,623,2064,0,480,10,2.0019,0.00506
7,3,rand-n7-s3,h2-mst,1,141,219,235,233,868,0,342,10,1.8165,0.00556
7,3,rand-n7-s3,hx-inconsistent,0,0,219,588,586,1676,94,398,10,1.9561,0.0079
7,4,rand-n7-s4,h0-zero,1,0,240,755,754,1981,0,298,10,1.9928,0.00467
7,4,rand-n7-s4,h1-farthest,1,54,240,507,505,1422,0,309,10,1.9205,0.00377
7,4,rand-n7-s4,h2-mst,1,141,240,211,209,645,0,214,10,1.7559,0.0043
7,4,rand-n7-s4,hx-inconsistent,0,0,240,418,417,1137,24,342,10,1.8728,0.00628
7,5,rand-n7-s5,h0-zero,1,0,207,700,699,1913,0,335,9,2.1613,0.00451
7,5,rand-n7-s5,h1-farthest,1,54,207,458,456,1383,0,354,9,2.0766,0.00359
7,5,rand-n7-s5,h2-mst,1,130,207,263,261,862,0,300,9,1.9579,0.00563
7,5,rand-n7-s5,hx-inconsistent,0,0,207,481,480,1348,32,348,9,2.07,0.00679
7,6,rand-n7-s6,h0-zero,1,0,175,1239,1237,2918,0,411,10,2.0801,0.00736
7,6,rand-n7-s6,h1-farthest,1,42,175,1063,1061,2664,0,443,10,2.0593,0.00739
7,6,rand-n7-s6,h2-mst,1,121,175,360,356,1070,0,344,10,1.8601,0.00697
7,6,rand-n7-s6,hx-inconsistent,0,0,175,794,793,1965,148,489,10,1.991,0.00984
7,7,rand-n7-s7,h0-zero,1,0,258,804,802,1540,0,311,10,1.9377,0.00422
7,7,rand-n7-s7,h1-farthest,1,54,258,256,254,798,0,254,10,1.7992,0.0022
7,7,rand-n7-s7,h2-mst,1,157,258,122,119,432,0,178,10,1.6764,0.00304
7,7,rand-n7-s7,hx-inconsistent,0,0,258,319,318,811,19,230,10,1.8025,0.00438
7,8,rand-n7-s8,h0-zero,1,0,194,1207,1197,2936,0,454,10,2.0815,0.00729
7,8,rand-n7-s8,h1-farthest,1,46,194,590,588,1707,0,456,10,1.9601,0.00479
7,8,rand-n7-s8,h2-mst,1,132,194,89,86,346,0,180,10,1.6334,0.00257
7,8,rand-n7-s8,hx-inconsistent,0,0,194,334,331,924,24,328,10,1.8294,0.00503
7,9,rand-n7-s9,h0-zero,1,0,221,726,725,1828,0,281,10,1.9751,0.00472
7,9,rand-n7-s9,h1-farthest,1,50,221,479,477,1340,0,278,10,1.9078,0.00356
7,9,rand-n7-s9,h2-mst,1,139,221,277,275,797,0,252,10,1.7989,0.00521
7,9,rand-n7-s9,hx-inconsistent,0,0,221,491,490,1255,64,335,10,1.8938,0.00656
9,0,rand-n9-s0,h0-zero,1,0,312,2541,2540,4465,0,819,13,1.7927,0.01423
9,0,rand-n9-s0,h1-farthest,1,54,312,1248,1246,2892,0,877,13,1.7273,0.01371
9,0,rand-n9-s0,h2-mst,1,172,312,463,460,1327,0,543,13,1.6144,0.01204
9,0,rand-n9-s0,hx-inconsistent,0,172,312,1012,1011,2238,27,656,13,1.6896,0.01639
9,1,rand-n9-s1,h0-zero,1,0,267,2841,2837,5635,0,1054,13,1.8285,0.0174
9,1,rand-n9-s1,h1-farthest,1,50,267,996,994,2788,0,770,13,1.7219,0.00963
9,1,rand-n9-s1,h2-mst,1,165,267,428,425,1460,0,657,13,1.628,0.01342
9,1,rand-n9-s1,hx-inconsistent,0,165,267,1214,1213,2966,57,877,13,1.7311,0.02032
9,2,rand-n9-s2,h0-zero,1,0,280,3192,3191,8574,0,1390,13,1.8945,0.02323
9,2,rand-n9-s2,h1-farthest,1,50,280,2232,2230,6494,0,1481,13,1.8506,0.02008
9,2,rand-n9-s2,h2-mst,1,180,280,796,794,2679,0,942,13,1.716,0.02101
9,2,rand-n9-s2,hx-inconsistent,0,180,280,1914,1912,5519,238,1545,13,1.8253,0.0328
9,3,rand-n9-s3,h0-zero,1,0,293,5501,5500,13488,0,2448,13,1.9678,0.04196
9,3,rand-n9-s3,h1-farthest,1,52,293,2136,2134,6718,0,2436,13,1.8559,0.02261
9,3,rand-n9-s3,h2-mst,1,168,293,385,382,1443,0,695,13,1.6263,0.01288
9,3,rand-n9-s3,hx-inconsistent,0,168,293,1634,1632,4548,118,1483,13,1.7955,0.0308
9,4,rand-n9-s4,h0-zero,1,0,273,3696,3695,7965,0,1331,12,1.9949,0.02262
9,4,rand-n9-s4,h1-farthest,1,54,273,1421,1419,4384,0,1252,13,1.7899,0.01383
9,4,rand-n9-s4,h2-mst,1,166,273,734,731,2598,0,897,13,1.7115,0.02039
9,4,rand-n9-s4,hx-inconsistent,0,166,273,1798,1797,4813,112,1218,13,1.8042,0.02929
9,5,rand-n9-s5,h0-zero,1,0,298,3351,3350,7681,0,1267,12,1.9884,0.02196
9,5,rand-n9-s5,h1-farthest,1,56,298,1321,1319,3844,0,1160,12,1.8663,0.01688
9,5,rand-n9-s5,h2-mst,1,173,298,231,228,912,0,505,12,1.6308,0.00848
9,5,rand-n9-s5,hx-inconsistent,0,173,298,903,901,2496,39,982,12,1.7931,0.01732
9,6,rand-n9-s6,h0-zero,1,0,236,2593,2592,6139,0,847,13,1.8418,0.01708
9,6,rand-n9-s6,h1-farthest,1,42,236,1797,1795,5007,0,893,13,1.8103,0.01562
9,6,rand-n9-s6,h2-mst,1,155,236,782,780,3009,0,659,13,1.7332,0.01885
9,6,rand-n9-s6,hx-inconsistent,0,155,236,1606,1604,4784,200,1018,13,1.8033,0.02495
9,7,rand-n9-s7,h0-zero,1,0,364,2540,2539,5433,0,936,12,1.9265,0.01621
9,7,rand-n9-s7,h1-farthest,1,54,364,1290,1288,3839,0,998,12,1.8661,0.01226
9,7,rand-n9-s7,h2-mst,1,177,364,690,687,2649,0,705,12,1.8031,0.01858
9,7,rand-n9-s7,hx-inconsistent,0,177,364,1420,1419,4004,86,834,12,1.8733,0.02357
9,8,rand-n9-s8,h0-zero,1,0,260,5352,5351,12858,0,2171,13,1.96,0.03527
9,8,rand-n9-s8,h1-farthest,1,50,260,3566,3564,9777,0,2221,13,1.9155,0.03532
9,8,rand-n9-s8,h2-mst,1,157,260,517,514,1956,0,922,13,1.67,0.01651
9,8,rand-n9-s8,hx-inconsistent,0,157,260,1994,1992,5339,255,1650,13,1.8202,0.03363
9,9,rand-n9-s9,h0-zero,1,0,342,3212,3211,7413,0,1274,13,1.8714,0.02104
9,9,rand-n9-s9,h1-farthest,1,56,342,1146,1144,3662,0,1076,13,1.7626,0.0116
9,9,rand-n9-s9,h2-mst,1,189,342,513,511,1982,0,685,13,1.6719,0.015
9,9,rand-n9-s9,hx-inconsistent,0,189,342,1304,1302,3742,25,1106,13,1.7659,0.0243
