sampler,nfe,steps,rejected,rtol,traj_rmse,w1,energy,mode_tv,mean_error,var_error,skew_error
heun,12,6,0,,0.03644956,0.03021184,0.0006115,0.00258789,0.00212674,0.07570912,0.00295711
heun,16,8,0,,0.02731459,0.02348053,0.00029957,0.00722656,0.00088432,0.05310475,0.00085734
heun,24,12,0,,0.01314294,0.01198972,6.203e-05,0.0050293,0.00025976,0.02855906,0.00105425
heun,32,16,0,,0.00701946,0.00655213,1.882e-05,0.00283203,0.00012228,0.01625734,0.00044196
heun,48,24,0,,0.00299999,0.00282631,3.58e-06,0.0017334,6.221e-05,0.00718617,0.00011674
heun,64,32,0,,0.00166179,0.00157086,1.13e-06,0.00161133,4.941e-05,0.00405101,3.384e-05
heun,96,48,0,,0.00072587,0.00069157,2.3e-07,0.00148926,4.397e-05,0.0018314,1.645e-05
heun,128,64,0,,0.00040449,0.00038989,9e-08,0.00136719,4.292e-05,0.00106337,3.173e-05
heun,192,96,0,,0.00017801,0.0001779,3e-08,0.00136719,4.251e-05,0.00052009,4.163e-05
heun,256,128,0,,9.962e-05,0.00010518,2e-08,0.00136719,4.245e-05,0.0003316,4.482e-05
heun,384,192,0,,4.404e-05,6.206e-05,2e-08,0.00136719,4.245e-05,0.00019781,4.698e-05
heun,512,256,0,,2.471e-05,5.167e-05,2e-08,0.00136719,4.245e-05,0.00015122,4.771e-05
exponential_1,8,8,0,,0.31740383,0.26820777,0.03784292,0.1345459,0.00437356,0.68489514,0.00218094
exponential_1,12,12,0,,0.21983509,0.18386691,0.01763144,0.08901367,0.00306454,0.48173843,0.00065766
exponential_1,16,16,0,,0.16719736,0.13900198,0.0100259,0.06594238,0.00240777,0.36941247,0.00175054
exponential_1,24,24,0,,0.1130012,0.09330755,0.00448691,0.04348145,0.00166679,0.25140664,0.00192754
exponential_1,32,32,0,,0.08534326,0.07020586,0.00253069,0.03249512,0.00127356,0.19045284,0.00171624
exponential_1,48,48,0,,0.05728807,0.0469452,0.00112716,0.02175293,0.00087009,0.12822715,0.00132583
exponential_1,64,64,0,,0.04311114,0.03526073,0.00063461,0.01650391,0.00066528,0.09664765,0.00106667
exponential_1,96,96,0,,0.02883579,0.02354301,0.00028232,0.01137695,0.00045886,0.06476253,0.00076658
exponential_1,128,128,0,,0.02166184,0.01767235,0.00015891,0.00869141,0.00035514,0.04870664,0.00060158
exponential_1,192,192,0,,0.0144642,0.01179418,7.07e-05,0.00612793,0.00025115,0.03257586,0.00042682
exponential_1,256,256,0,,0.01085665,0.00885236,3.981e-05,0.00490723,0.00019906,0.02448255,0.00033582
exponential_1,384,384,0,,0.00724338,0.00590877,1.773e-05,0.00344238,0.00014691,0.0163707,0.00024244
exponential_1,512,512,0,,0.00543463,0.00443634,1e-05,0.00283203,0.00012082,0.01230785,0.00019486
exponential_2,8,4,0,,0.49780649,0.41262777,0.08572325,0.03720703,0.00401691,1.54134651,0.01102805
exponential_2,12,6,0,,0.22265294,0.18820087,0.01952143,0.03305664,0.00265833,0.63585179,0.00930801
exponential_2,16,8,0,,0.12076039,0.10545537,0.00550351,0.0270752,0.00130383,0.32566725,0.00680731
exponential_2,24,12,0,,0.05290847,0.04576961,0.00100132,0.01486816,0.00029768,0.13336641,0.00197482
exponential_2,32,16,0,,0.02913851,0.02510401,0.00030333,0.00803223,0.0001228,0.07186722,0.00091847
exponential_2,48,24,0,,0.01253794,0.0107594,5.579e-05,0.00302734,5.475e-05,0.03038124,0.00035151
exponential_2,64,32,0,,0.00694315,0.00594282,1.702e-05,0.00170898,4.381e-05,0.01665839,0.00016688
exponential_2,96,48,0,,0.0030366,0.00258737,3.24e-06,0.00100098,4.076e-05,0.0071861,4.339e-05
exponential_2,128,64,0,,0.00169408,0.00143641,1.01e-06,0.00112305,4.09e-05,0.00395655,2.19e-06
exponential_2,192,96,0,,0.00074666,0.00062542,2.1e-07,0.00124512,4.151e-05,0.0016877,2.642e-05
exponential_2,256,128,0,,0.00041822,0.00034507,7e-08,0.00136719,4.186e-05,0.00090372,3.623e-05
exponential_2,384,192,0,,0.00018509,0.00014823,3e-08,0.00136719,4.217e-05,0.00034831,4.314e-05
exponential_2,512,256,0,,0.00010389,8.268e-05,2e-08,0.00136719,4.229e-05,0.00015515,4.554e-05
adaptive,26,12,1,0.03,0.00331975,0.00251404,3.98e-06,0.00148926,6.949e-05,0.00549563,0.00028154
adaptive,38,17,2,0.01,0.0009979,0.00060419,2.9e-07,0.00124512,2.124e-05,0.00027392,2.597e-05
adaptive,60,28,2,0.003,0.00081093,0.00058756,1.9e-07,0.00124512,9.25e-06,0.00125354,2.951e-05
adaptive,102,49,2,0.001,0.00055661,0.0004389,1e-07,0.00124512,1.028e-05,0.00102975,2.308e-05
adaptive,190,92,3,0.0003,0.00018947,0.00014491,3e-08,0.00136719,2.995e-05,0.00029809,3.75e-05
adaptive,334,164,3,0.0001,6.623e-05,4.897e-05,2e-08,0.00136719,3.77e-05,4.627e-05,4.389e-05
adaptive,614,305,2,3e-05,2.117e-05,4.169e-05,2e-08,0.00136719,4.074e-05,4.721e-05,4.679e-05
adaptive,1074,535,2,1e-05,7.07e-06,4.275e-05,2e-08,0.00136719,4.18e-05,7.682e-05,4.79e-05
