seed,regime,rank,bits,method,detail,effective_bits,compression,relative_error
2,rounding-limited (99.9% of error from rounding),252,4,"low-rank -> quantize (aware, no refit)","aware, no refit",7.999,2.0002,0.213383
2,rounding-limited (99.9% of error from rounding),252,4,"low-rank -> quantize (RTN, refit)","RTN, refit",7.999,2.0002,0.228198
2,rounding-limited (99.9% of error from rounding),252,4,"low-rank -> quantize (RTN, no refit)","RTN, no refit",7.999,2.0002,0.233251
2,rounding-limited (99.9% of error from rounding),252,4,quantize -> low-rank (fp16 factors),quantization bought no storage,31.5,0.5079,0.023173
2,rounding-limited (99.9% of error from rounding),252,4,quantize -> low-rank -> requantize,rounded twice,7.999,2.0002,0.214248
2,balanced (33% rounding),32,4,"low-rank -> quantize (aware, refit)","aware, refit",1.0703,14.9489,0.226273
2,balanced (33% rounding),32,4,"low-rank -> quantize (aware, no refit)","aware, no refit",1.0703,14.9489,0.226597
2,balanced (33% rounding),32,4,"low-rank -> quantize (RTN, refit)","RTN, refit",1.0703,14.9489,0.228561
2,balanced (33% rounding),32,4,"low-rank -> quantize (RTN, no refit)","RTN, no refit",1.0703,14.9489,0.242118
2,balanced (33% rounding),32,4,quantize -> low-rank (fp16 factors),quantization bought no storage,4.0,4.0,0.154329
2,balanced (33% rounding),32,4,quantize -> low-rank -> requantize,rounded twice,1.0703,14.9489,0.226971
2,truncation-limited (3.8% rounding),8,4,"low-rank -> quantize (aware, refit)","aware, refit",0.3145,50.882,0.321328
2,truncation-limited (3.8% rounding),8,4,"low-rank -> quantize (aware, no refit)","aware, no refit",0.3145,50.882,0.321404
2,truncation-limited (3.8% rounding),8,4,"low-rank -> quantize (RTN, refit)","RTN, refit",0.3145,50.882,0.321637
2,truncation-limited (3.8% rounding),8,4,"low-rank -> quantize (RTN, no refit)","RTN, no refit",0.3145,50.882,0.32825
2,truncation-limited (3.8% rounding),8,4,quantize -> low-rank (fp16 factors),quantization bought no storage,1.0,16.0,0.310185
2,truncation-limited (3.8% rounding),8,4,quantize -> low-rank -> requantize,rounded twice,0.3145,50.882,0.321364
