method,update,drift
"C double, reorth",16350,1.917981e-14
"C double, reorth",16400,1.953256e-14
"C double, reorth",16450,1.859722e-14
"C double, reorth",16500,1.709115e-14
"C double, reorth",16550,1.661547e-14
"C double, reorth",16600,1.486231e-14
"C double, reorth",16650,1.930813e-14
"C double, reorth",16700,1.225797e-14
"C double, reorth",16750,1.614316e-14
"C double, reorth",16800,1.570026e-14
"C double, reorth",16850,1.790232e-14
"C double, reorth",16900,1.658144e-14
"C double, reorth",16950,1.328674e-14
"C double, reorth",17000,1.746219e-14
"C double, reorth",17050,1.709281e-14
"C double, reorth",17100,2.022077e-14
"C double, reorth",17150,2.176515e-14
"C double, reorth",17200,2.306235e-14
"C double, reorth",17250,7.949340e-15
"C double, reorth",17300,7.608757e-15
"C double, reorth",17350,1.098649e-14
"C double, reorth",17400,1.628415e-14
"C double, reorth",17450,1.977547e-14
"C double, reorth",17500,2.177895e-14
"C double, reorth",17550,2.422492e-14
"C double, reorth",17600,6.012861e-15
"C double, reorth",17650,4.742815e-15
"C double, reorth",17700,6.521476e-15
"C double, reorth",17750,6.206518e-15
"C double, reorth",17800,1.293214e-14
"C double, reorth",17850,1.507591e-14
"C double, reorth",17900,1.855275e-14
"C double, reorth",17950,2.262545e-14
"C double, reorth",18000,7.932355e-15
"C double, reorth",18050,5.995304e-15
"C double, reorth",18100,1.065273e-14
"C double, reorth",18150,1.455182e-14
"C double, reorth",18200,1.966429e-14
"C double, reorth",18250,1.823681e-14
"C double, reorth",18300,1.811291e-14
"C double, reorth",18350,1.915349e-14
"C double, reorth",18400,2.112137e-14
"C double, reorth",18450,1.688741e-14
"C double, reorth",18500,2.401556e-14
"C double, reorth",18550,8.651983e-15
"C double, reorth",18600,8.711699e-15
"C double, reorth",18650,9.999005e-15
"C double, reorth",18700,1.686895e-14
"C double, reorth",18750,2.522486e-14
"C double, reorth",18800,1.280941e-14
"C double, reorth",18850,1.770151e-14
"C double, reorth",18900,7.116361e-15
"C double, reorth",18950,5.268538e-15
"C double, reorth",19000,7.752923e-15
"C double, reorth",19050,9.457430e-15
"C double, reorth",19100,1.415812e-14
"C double, reorth",19150,1.860399e-14
"C double, reorth",19200,2.411909e-14
"C double, reorth",19250,8.413915e-15
"C double, reorth",19300,1.255324e-14
"C double, reorth",19350,1.418285e-14
"C double, reorth",19400,2.186210e-14
"C double, reorth",19450,2.337300e-14
"C double, reorth",19500,5.349703e-15
"C double, reorth",19550,8.742697e-15
"C double, reorth",19600,7.973617e-15
"C double, reorth",19650,1.173318e-14
"C double, reorth",19700,1.291328e-14
"C double, reorth",19750,1.400144e-14
"C double, reorth",19800,1.506836e-14
"C double, reorth",19850,1.529055e-14
"C double, reorth",19900,1.819814e-14
"C double, reorth",19950,2.040079e-14
"C double, reorth",20000,1.985249e-14
"C double, reorth",20050,2.045934e-14
"C double, reorth",20100,5.904022e-15
"C double, reorth",20150,3.681039e-15
"C double, reorth",20200,1.378045e-14
"C double, reorth",20250,2.175525e-14
"C double, reorth",20300,5.639853e-15
"C double, reorth",20350,1.292349e-14
"C double, reorth",20400,1.573428e-14
"C double, reorth",20450,2.027195e-14
"C double, reorth",20500,4.099478e-15
"C double, reorth",20550,6.126040e-15
"C double, reorth",20600,9.826749e-15
"C double, reorth",20650,1.497677e-14
"C double, reorth",20700,1.171112e-14
"C double, reorth",20750,8.953994e-15
"C double, reorth",20800,1.528435e-14
"C double, reorth",20850,1.370265e-14
"C double, reorth",20900,1.114136e-14
"C double, reorth",20950,1.294330e-14
"C double, reorth",21000,1.058051e-14
"C double, reorth",21050,1.004706e-14
"C double, reorth",21100,1.330124e-14
"C double, reorth",21150,1.454250e-14
"C double, reorth",21200,1.692698e-14
"C double, reorth",21250,2.013801e-14
"C double, reorth",21300,1.573545e-14
"C double, reorth",21350,1.164959e-14
"C double, reorth",21400,1.262746e-14
"C double, reorth",21450,1.140495e-14
"C double, reorth",21500,1.833175e-14
"C double, reorth",21550,2.063347e-14
"C double, reorth",21600,6.830267e-15
"C double, reorth",21650,7.821284e-15
"C double, reorth",21700,1.902689e-14
"C double, reorth",21750,6.042857e-15
"C double, reorth",21800,7.559872e-15
"C double, reorth",21850,1.690594e-14
"C double, reorth",21900,6.648343e-15
"C double, reorth",21950,1.073291e-14
"C double, reorth",22000,1.563145e-14
"C double, reorth",22050,1.601729e-14
"C double, reorth",22100,1.783300e-14
"C double, reorth",22150,1.716712e-14
"C double, reorth",22200,1.825013e-14
"C double, reorth",22250,1.576933e-14
"C double, reorth",22300,9.810066e-15
"C double, reorth",22350,8.673036e-15
"C double, reorth",22400,1.493206e-14
"C double, reorth",22450,1.324235e-14
"C double, no reorth",0,4.645151e-15
"C double, no reorth",50,4.645151e-15
"C double, no reorth",100,4.645151e-15
"C double, no reorth",150,4.645151e-15
"C double, no reorth",200,4.645151e-15
"C double, no reorth",250,4.645151e-15
"C double, no reorth",300,4.645151e-15
"C double, no reorth",350,6.724986e-15
"C double, no reorth",400,6.289405e-15
"C double, no reorth",450,6.274599e-15
"C double, no reorth",500,9.086918e-15
"C double, no reorth",550,1.097493e-14
"C double, no reorth",600,8.856387e-15
"C double, no reorth",650,1.143140e-14
"C double, no reorth",700,1.309195e-14
"C double, no reorth",750,1.706374e-14
"C double, no reorth",800,2.021136e-14
"C double, no reorth",850,2.253902e-14
"C double, no reorth",900,2.627406e-14
"C double, no reorth",950,2.477478e-14
"C double, no reorth",1000,2.157570e-14
"C double, no reorth",1050,1.951312e-14
"C double, no reorth",1100,1.943714e-14
"C double, no reorth",1150,1.995969e-14
"C double, no reorth",1200,1.584465e-14
"C double, no reorth",1250,1.815941e-14
"C double, no reorth",1300,1.698621e-14
"C double, no reorth",1350,1.868862e-14
"C double, no reorth",1400,1.870215e-14
"C double, no reorth",1450,1.978071e-14
"C double, no reorth",1500,1.835124e-14
"C double, no reorth",1550,1.679862e-14
"C double, no reorth",1600,2.116117e-14
"C double, no reorth",1650,1.796815e-14
"C double, no reorth",1700,1.601179e-14
"C double, no reorth",1750,1.203979e-14
"C double, no reorth",1800,1.184151e-14
"C double, no reorth",1850,1.107327e-14
"C double, no reorth",1900,1.526345e-14
"C double, no reorth",1950,1.329631e-14
"C double, no reorth",2000,1.498640e-14
"C double, no reorth",2050,1.030021e-14
"C double, no reorth",2100,1.855197e-14
"C double, no reorth",2150,2.388386e-14
"C double, no reorth",2200,2.145537e-14
"C double, no reorth",2250,1.414779e-14
"C double, no reorth",2300,2.042046e-14
"C double, no reorth",2350,2.152399e-14
"C double, no reorth",2400,2.049947e-14
"C double, no reorth",2450,1.964293e-14
"C double, no reorth",2500,1.349372e-14
"C double, no reorth",2550,1.079040e-14
"C double, no reorth",2600,1.687543e-14
"C double, no reorth",2650,1.446631e-14
"C double, no reorth",2700,1.694230e-14
"C double, no reorth",2750,1.897967e-14
"C double, no reorth",2800,2.180003e-14
"C double, no reorth",2850,2.161436e-14
"C double, no reorth",2900,2.047742e-14
"C double, no reorth",2950,1.779925e-14
"C double, no reorth",3000,1.965274e-14
"C double, no reorth",3050,1.888874e-14
"C double, no reorth",3100,2.176510e-14
"C double, no reorth",3150,2.500349e-14
"C double, no reorth",3200,2.698652e-14
"C double, no reorth",3250,2.639969e-14
"C double, no reorth",3300,2.770550e-14
"C double, no reorth",3350,2.448099e-14
"C double, no reorth",3400,2.332612e-14
"C double, no reorth",3450,1.653162e-14
"C double, no reorth",3500,1.542089e-14
"C double, no reorth",3550,1.887356e-14
"C double, no reorth",3600,2.276502e-14
"C double, no reorth",3650,2.718619e-14
"C double, no reorth",3700,2.694956e-14
"C double, no reorth",3750,3.038729e-14
"C double, no reorth",3800,3.123171e-14
"C double, no reorth",3850,2.926401e-14
"C double, no reorth",3900,3.469056e-14
"C double, no reorth",3950,3.373854e-14
"C double, no reorth",4000,3.443466e-14
"C double, no reorth",4050,3.789591e-14
"C double, no reorth",4100,3.903811e-14
"C double, no reorth",4150,3.997688e-14
"C double, no reorth",4200,4.245559e-14
"C double, no reorth",4250,4.498159e-14
"C double, no reorth",4300,5.023141e-14
"C double, no reorth",4350,4.602512e-14
"C double, no reorth",4400,5.179096e-14
"C double, no reorth",4450,4.908816e-14
"C double, no reorth",4500,4.525403e-14
"C double, no reorth",4550,4.783042e-14
"C double, no reorth",4600,5.125515e-14
"C double, no reorth",4650,5.159631e-14
"C double, no reorth",4700,5.656417e-14
"C double, no reorth",4750,6.011334e-14
"C double, no reorth",4800,6.368214e-14
"C double, no reorth",4850,6.126920e-14
"C double, no reorth",4900,6.615386e-14
"C double, no reorth",4950,6.635301e-14
"C double, no reorth",5000,6.599917e-14
"C double, no reorth",5050,7.134307e-14
"C double, no reorth",5100,6.081722e-14
"C double, no reorth",5150,6.583620e-14
"C double, no reorth",5200,6.171165e-14
"C double, no reorth",5250,6.088242e-14
"C double, no reorth",5300,5.800257e-14
"C double, no reorth",5350,5.619333e-14
"C double, no reorth",5400,5.703055e-14
"C double, no reorth",5450,5.969944e-14
"C double, no reorth",5500,5.022415e-14
"C double, no reorth",5550,4.902892e-14
"C double, no reorth",5600,4.794704e-14
"C double, no reorth",5650,4.158482e-14
"C double, no reorth",5700,4.790124e-14
"C double, no reorth",5750,4.800529e-14
"C double, no reorth",5800,4.451170e-14
"C double, no reorth",5850,4.038737e-14
"C double, no reorth",5900,4.932294e-14
"C double, no reorth",5950,4.868447e-14
"C double, no reorth",6000,4.099158e-14
"C double, no reorth",6050,4.089907e-14
"C double, no reorth",6100,3.731033e-14
"C double, no reorth",6150,3.931316e-14
"C double, no reorth",6200,3.727032e-14
"C double, no reorth",6250,4.354785e-14
"C double, no reorth",6300,3.899525e-14
"C double, no reorth",6350,3.747413e-14
"C double, no reorth",6400,4.278193e-14
"C double, no reorth",6450,3.941532e-14
"C double, no reorth",6500,4.440180e-14
"C double, no reorth",6550,4.799693e-14
"C double, no reorth",6600,4.305903e-14
"C double, no reorth",6650,4.599286e-14
"C double, no reorth",6700,4.172652e-14
"C double, no reorth",6750,4.803270e-14
"C double, no reorth",6800,4.971619e-14
"C double, no reorth",6850,4.539235e-14
"C double, no reorth",6900,4.774523e-14
"C double, no reorth",6950,4.688207e-14
"C double, no reorth",7000,3.844413e-14
"C double, no reorth",7050,4.193217e-14
"C double, no reorth",7100,4.058515e-14
"C double, no reorth",7150,3.486586e-14
"C double, no reorth",7200,3.198311e-14
"C double, no reorth",7250,3.319193e-14
"C double, no reorth",7300,3.515032e-14
"C double, no reorth",7350,3.486563e-14
"C double, no reorth",7400,4.098041e-14
"C double, no reorth",7450,4.160817e-14
"C double, no reorth",7500,3.546588e-14
"C double, no reorth",7550,3.363801e-14
"C double, no reorth",7600,3.554323e-14
"C double, no reorth",7650,3.658279e-14
"C double, no reorth",7700,3.687306e-14
"C double, no reorth",7750,3.807442e-14
"C double, no reorth",7800,3.793513e-14
"C double, no reorth",7850,3.565937e-14
"C double, no reorth",7900,3.716987e-14
"C double, no reorth",7950,3.519981e-14
"C double, no reorth",8000,3.781018e-14
"C double, no reorth",8050,4.044733e-14
"C double, no reorth",8100,4.069317e-14
"C double, no reorth",8150,4.308705e-14
"C double, no reorth",8200,4.522864e-14
"C double, no reorth",8250,5.102504e-14
"C double, no reorth",8300,5.406667e-14
"C double, no reorth",8350,5.105288e-14
"C double, no reorth",8400,5.432562e-14
"C double, no reorth",8450,5.072950e-14
"C double, no reorth",8500,4.473767e-14
"C double, no reorth",8550,4.677403e-14
"C double, no reorth",8600,4.357709e-14
"C double, no reorth",8650,3.996140e-14
"C double, no reorth",8700,4.007195e-14
"C double, no reorth",8750,3.934328e-14
"C double, no reorth",8800,3.883425e-14
"C double, no reorth",8850,3.880668e-14
"C double, no reorth",8900,4.156256e-14
"C double, no reorth",8950,4.204132e-14
"C double, no reorth",9000,4.360922e-14
"C double, no reorth",9050,4.364634e-14
"C double, no reorth",9100,4.883446e-14
"C double, no reorth",9150,4.767715e-14
"C double, no reorth",9200,5.677590e-14
"C double, no reorth",9250,5.804602e-14
"C double, no reorth",9300,5.164095e-14
"C double, no reorth",9350,4.690881e-14
"C double, no reorth",9400,4.439644e-14
"C double, no reorth",9450,4.233724e-14
"C double, no reorth",9500,4.438103e-14
"C double, no reorth",9550,4.941125e-14
"C double, no reorth",9600,5.018680e-14
"C double, no reorth",9650,5.168482e-14
"C double, no reorth",9700,5.611224e-14
"C double, no reorth",9750,6.024865e-14
"C double, no reorth",9800,5.791133e-14
"C double, no reorth",9850,6.132210e-14
"C double, no reorth",9900,6.656113e-14
"C double, no reorth",9950,6.480297e-14
"C double, no reorth",10000,6.173111e-14
"C double, no reorth",10050,6.302367e-14
"C double, no reorth",10100,5.852717e-14
"C double, no reorth",10150,5.517656e-14
"C double, no reorth",10200,5.665951e-14
"C double, no reorth",10250,5.367273e-14
"C double, no reorth",10300,4.519797e-14
"C double, no reorth",10350,4.530272e-14
"C double, no reorth",10400,5.330776e-14
"C double, no reorth",10450,4.457299e-14
"C double, no reorth",10500,4.018338e-14
"C double, no reorth",10550,4.279159e-14
"C double, no reorth",10600,4.241090e-14
"C double, no reorth",10650,4.420691e-14
"C double, no reorth",10700,4.971468e-14
"C double, no reorth",10750,5.168486e-14
"C double, no reorth",10800,4.902960e-14
"C double, no reorth",10850,4.238270e-14
"C double, no reorth",10900,4.544250e-14
"C double, no reorth",10950,5.075883e-14
"C double, no reorth",11000,4.930210e-14
"C double, no reorth",11050,4.873474e-14
"C double, no reorth",11100,4.864712e-14
"C double, no reorth",11150,4.848075e-14
"C double, no reorth",11200,4.720986e-14
"C double, no reorth",11250,5.187590e-14
"C double, no reorth",11300,4.585072e-14
"C double, no reorth",11350,4.792937e-14
"C double, no reorth",11400,5.564217e-14
"C double, no reorth",11450,5.019799e-14
"C double, no reorth",11500,4.566979e-14
"C double, no reorth",11550,4.476939e-14
"C double, no reorth",11600,4.537036e-14
"C double, no reorth",11650,3.972643e-14
"C double, no reorth",11700,4.448009e-14
"C double, no reorth",11750,3.963726e-14
"C double, no reorth",11800,3.663268e-14
"C double, no reorth",11850,3.522426e-14
"C double, no reorth",11900,4.096170e-14
"C double, no reorth",11950,3.685985e-14
"C double, no reorth",12000,3.302520e-14
"C double, no reorth",12050,3.838679e-14
"C double, no reorth",12100,3.904056e-14
"C double, no reorth",12150,3.883369e-14
"C double, no reorth",12200,4.276554e-14
"C double, no reorth",12250,4.187979e-14
"C double, no reorth",12300,3.828649e-14
"C double, no reorth",12350,3.827689e-14
"C double, no reorth",12400,4.150747e-14
"C double, no reorth",12450,4.469454e-14
"C double, no reorth",12500,4.881069e-14
"C double, no reorth",12550,4.865834e-14
"C double, no reorth",12600,4.985430e-14
"C double, no reorth",12650,4.783911e-14
"C double, no reorth",12700,5.249578e-14
"C double, no reorth",12750,5.436664e-14
"C double, no reorth",12800,4.868965e-14
"C double, no reorth",12850,5.301763e-14
"C double, no reorth",12900,5.168330e-14
"C double, no reorth",12950,5.056197e-14
"C double, no reorth",13000,4.907354e-14
"C double, no reorth",13050,5.052701e-14
"C double, no reorth",13100,4.753561e-14
"C double, no reorth",13150,4.614208e-14
"C double, no reorth",13200,4.603806e-14
"C double, no reorth",13250,4.545443e-14
"C double, no reorth",13300,4.193279e-14
"C double, no reorth",13350,4.072679e-14
"C double, no reorth",13400,4.389812e-14
"C double, no reorth",13450,4.224884e-14
"C double, no reorth",13500,4.347898e-14
"C double, no reorth",13550,4.346840e-14
"C double, no reorth",13600,4.571317e-14
